1,2,3
14,14,21
14,18,22
15,20,23
12,16,19
23,24,26
6,10,17
16,21,23
10,15,19
8,11,17
10,15,20
15,20,22
15,19,22
13,19,24
10,15,19
11,14,19
2,2,15
16,18,21
11,15,20
14,16,21
13,19,21
13,15,21
4,8,17
8,9,20
12,21,25
14,21,21
19,27,27
12,19,23
8,15,20
4,7,17
9,10,18
11,14,21
4,10,17
14,20,23
6,10,20
16,23,23
4,6,15
11,13,20
12,17,21
13,22,23
13,19,23
5,8,17
8,14,17
10,17,19
11,16,20
10,14,18
19,23,25
9,16,19
9,16,21
8,16,20
17,18,22
11,15,19
9,13,20
22,23,25
10,13,18
14,17,22
8,12,19
9,15,20
15,20,22
7,10,18
4,7,16
7,14,19
17,18,22
15,16,20
13,20,22
11,27,20
13,16,22
9,21,20
8,14,18
7,7,18
11,17,19
12,19,20
12,16,19
13,18,22
14,20,21
9,15,21
16,24,25
8,9,18
4,9,18
12,16,20
6,7,16
13,21,22
14,21,23
13,15,20
8,13,19
11,13,18
7,17,18
2,4,15
12,19,20
11,18,20
6,13,17
7,11,20
9,15,22
7,15,20
2,2,15
16,19,26
15,21,22
12,19,22
10,16,19
11,11,19
15,16,23
10.88,15.52,20.23
