1,2,3
6,8,17
10,12,20
5,9,18
15,17,23
5,7,16
11,15,21
8,8,17
18,19,20
15,18,20
9,16,18
11,14,18
10,14,17
9,13,17
10,16,19
11,13,19
15,18,19
13,20,21
8,15,19
15,18,20
15,21,21
15,21,23
9,18,18
17,18,22
8,12,17
11,11,18
20,20,22
8,15,18
13,15,20
23,24,25
15,20,21
4,4,16
12,14,19
13,15,21
7,14,19
12,13,19
15,19,22
13,13,19
14,19,20
10,14,18
8,8,16
14,15,20
9,16,18
15,16,19
18,19,21
6,6,16
11,14,20
13,19,21
10,10,17
11,11,19
12,18,20
10,15,20
9,11,18
10,15,20
14,20,22
13,17,20
11,13,19
14,17,21
17,21,21
13,18,20
19,22,23
12,15,19
9,15,19
16,17,21
12,13,18
8,16,17
9,9,16
10,12,17
8,12,18
16,21,22
12,12,18
9,14,19
7,10,18
5,17,17
12,12,18
8,10,17
9,15,16
14,17,20
11,13,19
13,16,19
6,8,18
12,14,21
11,13,19
11,14,19
10,13,18
14,20,20
14,16,19
16,18,21
9,10,21
10,10,18
13,16,19
11,11,17
10,12,17
8,14,19
16,19,22
12,20,20
10,16,19
12,16,21
10,13,21
9,12,17
16,16,20
11.55,14.78,19.22
