1,2,3
4,7,11
7,12,13
5,7,12
6,11,12
4,7,10
4,7,11
8,12,12
4,7,11
6,10,12
4,4,10
9,11,14
4,4,11
4,6,11
4,5,11
4,8,11
4,4,10
5,8,11
4,6,11
6,6,12
6,8,12
2,2,10
9,11,12
6,8,11
11,14,15
11,12,14
8,13,13
7,7,11
4,6,11
4,7,11
7,10,14
4,7,12
4,6,11
4,4,11
2,2,11
4,7,11
7,10,12
4,5,11
4,4,10
4,9,11
6,6,11
6,9,11
11,12,14
2,2,9
0,0,11
2,2,10
2,5,13
6,7,10
8,14,15
2,2,9
6,8,11
4,5,11
6,8,12
2,2,11
2,6,15
3,6,11
2,4,12
6,6,12
0,0,12
4,8,11
2,4,10
5,9,12
6,6,12
7,9,12
6,6,11
8,11,13
5,9,12
2,4,10
6,6,12
2,4,11
6,9,12
9,11,13
4,5,10
6,10,14
5,8,12
4,4,11
2,7,10
9,10,13
6,6,11
2,4,10
11,11,14
7,10,12
8,14,14
8,12,14
10,12,14
4,7,11
6,11,12
8,8,12
6,6,12
6,10,12
6,7,11
6,11,12
0,0,11
2,5,10
4,6,12
3,3,11
6,8,12
7,9,12
2,4,10
8,9,13
3,8,12
2,5,12
0,0,9
5,11,12
4,10,13
10,14,14
6,10,13
7,11,12
6,12,12
6,6,11
6,8,13
0,0,9
8,10,12
2,5,10
2,2,10
6,8,12
7,8,13
4,6,12
10,11,14
2,2,9
5,8,12
8,9,13
10,11,13
2,5,11
6,11,13
4,7,11
6,6,12
8,10,12
7,7,11
2,2,12
6,8,12
6,8,12
9,9,13
6,9,12
0,0,9
9,9,13
4,6,11
6,9,11
3,3,10
4,8,11
5,9,11
4,8,11
6,10,12
8,11,12
0,0,10
3,7,12
3,3,10
9,12,13
2,4,10
4,4,10
7,11,14
5,9,13
2,5,10
4,6,12
4,4,10
9,9,12
6,9,13
4,6,10
5,7,11
0,0,9
2,4,11
2,2,11
10,13,14
5,7,11
9,11,13
10,12,15
4,4,10
6,7,11
6,10,12
4,8,13
6,7,11
6,6,11
8,11,13
4,8,11
0,0,10
6,6,11
0,0,9
2,4,12
0,0,10
6,8,11
6,9,12
6,6,14
2,2,11
5,8,12
4,6,12
4,7,11
6,10,12
8,9,13
6,11,12
3,7,11
2,2,10
6,7,11
8,11,13
7,11,12
4,4,10
7,9,14
10,12,13
8,10,12
5,5,11
4,8,12
2,5,11
6,12,12
2,5,11
6,8,11
6,11,12
2,2,9
7,7,12
5,11,13
5,9,13
2,4,10
4,8,11
4,6,10
10,15,16
7,9,12
7,11,14
6,9,13
6,9,12
7,7,12
0,0,9
4,4,10
6,11,12
4,4,10
4,8,11
0,0,10
4,4,10
6,8,12
0,0,9
4,10,12
12,14,14
10,14,16
5,10,12
