4,6,11
5,8,12
2,5,10
8,10,13
5,8,12
8,13,14
6,9,12
4,8,11
6,11,13
4,7,11
5,5,11
6,9,12
6,10,11
2,2,10
6,7,11
9,14,15
5,7,11
7,12,13
6,7,12
6,13,13
2,4,12
3,6,12
4,4,10
7,10,12
6,8,12
7,11,13
8,10,13
6,6,11
3,6,12
10,14,16
4,8,11
6,10,12
6,8,12
5,8,12
6,10,11
8,12,13
6,12,15
6,8,12
9,13,15
4,7,12
6,10,12
4,9,11
6,6,12
9,12,13
13,14,16
4,9,11
2,5,11
9,11,14
3,6,11
5,11,13
4,4,11
3,10,11
2,2,10
2,4,10
4,7,11
4,4,9
7,10,12
5,9,12
5,8,13
2,2,10
8,10,14
6,10,12
4,9,13
5,10,12
8,15,14
4,4,10
2,2,10
2,2,10
6,8,12
6,9,11
6,9,13
2,4,12
3,3,9
9,10,13
3,3,10
7,10,12
5,9,13
8,11,13
4,7,11
7,7,12
5,5,12
7,9,12
9,11,12
4,4,9
6,6,11
6,8,12
0,0,9
10,12,15
9,14,15
2,7,12
6,10,13
5,9,11
10,13,16
4,6,10
6,6,11
4,6,11
2,9,10
6,9,12
5,9,11
8,9,12
8,10,12
4,4,10
2,2,11
6,10,11
4,8,14
8,10,13
6,11,12
5,7,11
3,3,11
11,14,15
8,8,12
9,13,15
3,7,11
9,11,13
6,7,14
5,9,13
6,11,12
6,11,12
2,2,10
9,11,14
6,10,11
6,10,12
4,8,11
6,8,12
10,12,14
2,4,10
6,6,14
6,6,12
4,7,11
6,11,12
4,7,11
7,11,13
6,11,14
2,2,9
2,7,11
7,7,11
7,9,13
4,4,10
4,9,11
6,10,12
2,4,10
6,11,12
8,10,13
14,16,16
6,8,12
8,12,14
8,9,11
8,11,13
4,8,12
10,14,16
5,7,12
10,13,14
5,9,12
7,11,13
7,11,13
8,10,13
7,11,13
9,12,15
8,13,14
6,10,13
7,11,12
7,7,11
7,10,16
3,6,13
2,2,10
5,7,11
9,12,14
4,5,10
9,12,14
5,9,13
4,6,12
6,8,13
4,6,12
4,8,12
6,10,14
12,16,16
3,5,11
4,6,10
7,8,12
7,9,12
9,13,16
3,6,11
4,6,11
8,9,14
12,15,16
9,13,13
6,9,11
6,10,14
9,11,13
3,3,10
10,15,15
6,6,10
4,8,11
5,7,10
3,6,11
9,11,13
4,7,10
8,12,13
8,8,12
5,11,12
8,9,12
9,14,14
6,9,11
8,10,13
4,7,11
2,5,11
6,10,12
9,14,14
8,14,15
6,9,12
4,5,11
6,8,12
4,6,11
3,7,12
7,10,14
4,4,11
4,8,13
3,5,10
7,8,11
8,12,15
4,7,11
5,9,12
9,9,12
6,8,12
6,11,14
4,7,11
6,11,13
6,12,14
6,7,12
2,2,9
6,11,13
6,10,12
6,10,12
2,5,10
3,3,10
11,13,14
5,7,11
6,7,11
7,7,11
8,8,12
6,9,12
4,6,11
4,4,10
4,4,11
5,6,12
6,9,12
2,2,11
7,9,12
5,11,13
11,14,15
8,12,13
9,12,13
9,11,13
7,11,11
6,10,12
2,5,11
6,9,12
5,8,11
6,10,13
8,8,11
5,8,12
7,9,12
8,12,13
11,15,15
5,9,13
4,8,12
2,2,9
6,11,13
6,11,12
3,6,11
7,9,11
5,8,12
0,0,10
4,6,11
5,9,12
6,9,12
4,6,12
2,2,10
4,7,11
8,9,12
8,8,11
0,0,9
7,8,11
7,12,14
7,10,14
8,13,13
9,10,13
4,8,12
6,11,14
5,7,10
2,6,10
4,8,11
4,6,10
7,10,13
4,9,12
3,7,12
5,9,12
7,7,11
9,11,12
6,11,14
6,6,12
6,11,13
4,6,11
7,13,13
8,12,13
8,9,11
4,10,11
6,10,12
6,12,14
6,10,12
4,6,11
4,7,11
7,9,12
6,11,13
2,4,11
2,2,9
8,8,12
10,12,14
6,9,12
5,8,12
8,9,12
6,11,13
6,8,10
7,11,14
4,8,11
7,10,15
12,15,15
5,9,12
7,13,14
7,12,12
9,13,14
4,8,12
4,4,11
6,6,11
4,6,10
5,8,12
2,2,12
4,9,12
7,11,13
7,9,14
5,5,11
7,9,13
4,4,10
5,5,11
7,12,13
5,8,12
4,6,10
4,4,10
3,3,12
7,13,15
2,4,10
7,11,13
7,11,13
5,5,11
3,3,9
5,5,11
8,10,15
6,8,12
6,9,13
5,7,12
5,9,12
6,10,13
6,10,13
4,4,10
3,7,12
5,14,12
2,4,10
6,10,14
3,3,10
10,12,13
8,12,13
4,4,12
4,4,12
6,9,12
4,6,11
